,Timestamp [s],Kalman speed (Original) [m/s],Pressure [hPa],Temperature [°C],Acceleration X [g],Acceleration Y [g],Acceleration Z [g],Rotation X [rad/s],Rotation Y [rad/s],Rotation Z [rad/s]
,1400.492,0.705,851.00,27.719999,0.06,-0.048,1.019,0.000,0.000,0.000
,1400.582,0.671,851.00,27.629999,0.062,-0.046,1.029,0.000,0.000,0.000
,1400.642,0.649,851.00,27.629999,0.046,-0.041,1.013,-0.001,-0.001,-0.002
,1400.702,0.622,851.00,27.73,0.06,-0.037,1.022,0.000,-0.001,0.000
,1400.732,0.622,851.00,27.719999,0.045,-0.042,1.015,-0.001,-0.002,-0.001
,1400.762,0.622,851.00,27.719999,0.045,-0.042,1.015,-0.001,-0.002,-0.001
,1400.822,0.668,851.00,27.719999,0.031,-0.037,1.029,-0.003,0.000,0.000
,1400.912,0.711,851.00,27.629999,0.031,-0.037,1.021,-0.001,0.000,0.000
,1400.972,0.711,851.00,27.629999,0.031,-0.042,1.017,0.000,0.000,-0.001
,1401.062,0.74,851.00,27.629999,0.062,-0.048,1.017,0.000,-0.003,0.000
,1401.122,0.74,851.00,27.719999,0.062,-0.048,1.018,0.000,0.000,0.000
,1401.182,0.704,851.00,27.719999,0.046,-0.042,1.029,0.000,0.000,-0.001
,1401.212,0.704,851.00,27.73,0.06,-0.041,1.02,0.000,0.000,0.000
,1401.242,0.681,851.00,27.73,0.06,-0.041,1.02,0.000,0.000,0.000
,1401.302,0.681,851.00,27.73,0.062,-0.044,1.019,-0.001,0.000,-0.001
,1401.362,0.65,851.00,27.639999,0.031,-0.046,1.017,0.000,0.000,0.000
,1401.422,0.615,851.00,27.73,0.058,-0.037,1.013,-0.001,0.000,0.000
,1401.482,0.615,851.00,27.719999,0.06,-0.05,1.022,0.000,-0.001,-0.001
,1401.512,0.654,851.00,27.719999,0.06,-0.048,1.022,0.000,0.000,-0.001
,1401.542,0.654,851.00,27.73,0.046,-0.042,1.017,-0.001,0.000,-0.001
,1401.602,0.654,851.00,27.73,0.06,-0.05,1.021,-0.001,0.000,-0.001
,1401.692,0.69,851.00,27.65,0.06,-0.048,1.015,-0.001,-0.001,0.000
,1401.752,0.718,851.00,27.65,0.06,-0.048,1.029,0.000,-0.001,0.000
,1401.812,0.757,851.00,27.65,0.06,-0.035,1.029,0.000,-0.001,0.000
,1401.842,0.757,851.00,27.65,0.046,-0.043,1.021,0.000,-0.001,0.000
,1401.872,0.757,851.00,27.74,0.06,-0.048,1.015,0.000,0.000,0.000
,1401.932,0.716,851.00,27.73,0.062,-0.042,1.029,0.000,0.000,0.000
,1402.022,0.691,851.00,27.73,0.062,-0.048,1.029,0.000,-0.001,0.000
,1402.082,0.691,851.00,27.73,0.045,-0.048,1.021,0.000,0.000,0.000
,1402.172,0.66,851.00,27.73,0.062,-0.035,1.029,0.000,0.000,0.000
,1402.232,0.703,851.00,27.65,0.058,-0.041,1.022,0.000,0.000,-0.001
,1402.322,0.703,851.00,27.74,0.031,-0.046,1.027,-0.002,-0.002,-0.001
,1402.382,0.737,851.00,27.73,0.031,-0.042,1.015,-0.001,0.000,-0.002
,1402.442,0.762,851.00,27.74,0.058,-0.048,1.029,-0.001,0.000,0.000
,1402.472,0.762,851.00,27.74,0.058,-0.048,1.022,0.000,0.000,-0.002
,1402.502,0.762,851.00,27.66,0.06,-0.043,1.029,0.000,0.000,-0.001
,1402.562,0.798,851.00,27.74,0.046,-0.037,1.015,0.000,-0.001,0.000
,1402.652,0.771,851.00,27.73,0.045,-0.041,1.029,-0.001,0.000,0.000
,1402.712,0.737,851.00,27.74,0.062,-0.042,1.021,0.000,0.000,0.000
,1402.802,0.737,851.00,27.74,0.06,-0.037,1.022,0.001,0.000,0.000
,1402.862,0.705,851.00,27.74,0.058,-0.046,1.013,0.000,0.000,0.000
,1402.922,0.666,851.00,27.66,0.062,-0.037,1.013,0.000,0.000,0.000
,1402.982,0.666,851.00,27.74,0.031,-0.041,1.015,0.000,-0.001,0.000
,1403.042,0.695,851.00,27.74,0.062,-0.042,1.015,0.000,0.000,-0.002
,1403.132,0.728,851.00,27.74,0.031,-0.042,1.027,-0.001,0.000,-0.001
,1403.192,0.728,851.00,27.74,0.046,-0.041,1.015,-0.002,0.000,-0.001
,1403.282,0.752,851.00,27.74,0.06,-0.042,1.015,-0.002,-0.001,0.000
,1403.342,0.711,851.00,27.74,0.045,-0.048,1.02,-0.001,0.000,-0.001
,1403.402,0.711,851.00,27.66,0.06,-0.048,1.027,0.000,-0.001,0.000
,1403.462,0.673,851.00,27.66,0.058,-0.046,1.027,0.000,0.000,0.000
,1403.522,0.634,851.00,27.74,0.046,-0.046,1.013,0.000,0.000,0.000
,1403.612,0.606,851.00,27.73,0.062,-0.037,1.021,0.000,0.000,0.000
,1403.672,0.606,851.00,27.66,0.046,-0.037,1.022,-0.001,0.000,0.000
,1403.762,0.649,851.00,27.74,0.046,-0.041,1.027,-0.001,0.000,0.000
,1403.822,0.682,851.00,27.74,0.044,-0.035,1.02,0.000,-0.001,0.000
,1403.942,0.709,851.00,27.74,0.046,-0.037,1.027,0.000,0.000,0.000
,1404.002,0.671,851.00,27.66,0.031,-0.041,1.015,-0.002,0.000,0.000
,1404.092,0.671,851.00,27.74,0.031,-0.039,1.029,-0.001,-0.001,0.000
,1404.152,0.649,851.00,27.65,0.033,-0.037,1.027,-0.001,-0.002,0.000
,1404.302,0.6,851.00,27.73,0.031,-0.05,1.027,0.000,0.001,-0.001
,1404.392,0.6,851.00,27.65,0.06,-0.048,1.015,-0.002,0.000,0.000
,1404.452,0.631,851.00,27.66,0.058,-0.048,1.027,0.000,0.000,0.000
,1404.542,0.658,851.00,27.66,0.044,-0.046,1.013,0.000,-0.002,0.000
,1404.602,0.658,851.00,27.83,0.058,-0.048,1.022,0.000,-0.002,0.000
,1404.662,0.691,851.00,27.74,0.031,-0.041,1.029,-0.001,0.000,0.000
,1404.692,0.691,851.00,27.73,0.046,-0.041,1.013,0.000,0.000,-0.001
,1404.722,0.653,851.00,27.73,0.046,-0.041,1.013,0.000,0.000,-0.001
,1404.782,0.653,851.00,27.66,0.062,-0.041,1.017,-0.001,-0.002,-0.001
,1404.872,0.63,851.00,27.74,0.045,-0.048,1.015,-0.002,0.000,-0.001
,1404.932,0.612,851.00,27.74,0.044,-0.048,1.022,0.000,0.000,0.000
,1405.022,0.589,851.00,27.74,0.06,-0.05,1.023,-0.002,0.000,-0.001
,1405.082,0.589,851.00,27.66,0.06,-0.037,1.021,-0.001,-0.001,0.000
,1405.172,0.627,851.00,27.66,0.029,-0.05,1.013,0.000,0.000,0.000
,1405.232,0.654,851.00,27.74,0.031,-0.037,1.022,-0.001,0.000,0.000
,1405.292,0.654,851.00,27.74,0.06,-0.037,1.023,0.000,-0.001,0.000
,1405.322,0.69,851.00,27.74,0.062,-0.042,1.029,0.000,-0.001,0.000
,1405.352,0.69,851.00,27.66,0.062,-0.042,1.029,0.000,-0.001,0.000
,1405.412,0.729,851.00,27.66,0.06,-0.042,1.02,0.000,0.000,0.001
,1405.502,0.729,851.00,27.74,0.046,-0.037,1.02,0.000,0.000,0.000
,1405.562,0.699,851.00,27.74,0.062,-0.048,1.022,0.000,0.000,0.000
,1405.652,0.67,851.00,27.74,0.031,-0.048,1.021,-0.001,-0.001,0.000
,1405.712,0.649,851.00,27.67,0.06,-0.037,1.029,-0.001,0.000,-0.001
,1405.802,0.649,851.00,27.74,0.046,-0.048,1.031,0.000,0.000,0.000
,1405.862,0.694,851.00,27.74,0.031,-0.042,1.031,0.000,0.000,-0.002
,1405.922,0.727,851.00,27.66,0.045,-0.041,1.022,0.000,-0.001,-0.001
,1405.982,0.727,851.00,27.66,0.058,-0.048,1.022,-0.001,-0.001,0.000
,1406.042,0.759,851.00,27.74,0.058,-0.042,1.015,-0.001,-0.001,0.000
,1406.132,0.784,851.00,27.75,0.06,-0.048,1.013,0.000,-0.001,0.000
,1406.192,0.784,851.00,27.74,0.046,-0.048,1.031,0.000,-0.001,0.000
,1406.282,0.759,851.00,27.67,0.046,-0.035,1.029,0.000,0.000,0.000
,1406.342,0.733,851.00,27.74,0.031,-0.037,1.013,-0.001,0.000,0.000
,1406.402,0.709,851.00,27.75,0.045,-0.04,1.029,0.000,0.000,0.000
,1406.432,0.709,851.00,27.75,0.046,-0.041,1.029,0.000,0.000,0.000
,1406.462,0.709,851.00,27.74,0.045,-0.046,1.029,-0.001,0.000,0.000
,1406.522,0.75,851.00,27.75,0.062,-0.037,1.022,0.000,0.000,0.000
,1406.612,0.781,851.00,27.74,0.062,-0.048,1.015,0.000,0.000,-0.003
,1406.672,0.781,851.00,27.67,0.06,-0.048,1.029,-0.001,0.000,0.000
,1406.762,0.817,851.00,27.74,0.031,-0.041,1.027,-0.001,0.000,0.000
,1406.822,0.851,851.00,27.67,0.06,-0.037,1.029,0.000,0.000,0.000
,1406.882,0.851,851.00,27.75,0.045,-0.043,1.027,0.000,0.000,0.000
,1406.912,0.851,851.00,27.75,0.046,-0.037,1.02,0.000,-0.001,-0.001
,1407.002,0.813,851.00,27.67,0.046,-0.042,1.011,0.000,-0.003,0.000
,1407.062,0.767,851.00,27.67,0.046,-0.041,1.021,0.000,0.000,0.000
,1407.122,0.734,851.00,27.75,0.031,-0.041,1.022,0.000,0.000,0.000
,1407.182,0.734,851.00,27.74,0.043,-0.04,1.02,0.000,0.000,0.000
,1407.212,0.702,851.00,27.74,0.043,-0.04,1.02,0.000,0.000,0.000
,1407.242,0.702,851.00,27.75,0.06,-0.048,1.015,-0.001,-0.001,0.000
,1407.302,0.702,851.00,27.67,0.045,-0.05,1.017,-0.001,0.000,0.000
,1407.392,0.73,851.00,27.75,0.062,-0.042,1.029,0.000,0.000,0.000
,1407.452,0.768,851.00,27.74,0.031,-0.048,1.031,0.000,-0.003,0.000
,1407.512,0.788,851.00,27.74,0.045,-0.035,1.013,0.000,0.001,-0.001
,1407.542,0.788,851.00,27.74,0.062,-0.048,1.029,0.000,0.000,-0.001
,1407.572,0.788,851.00,27.66,0.045,-0.037,1.022,0.000,-0.001,0.000
,1407.632,0.753,851.00,27.66,0.06,-0.037,1.022,-0.001,-0.001,0.000
,1407.722,0.725,851.00,27.74,0.029,-0.048,1.027,-0.002,0.000,-0.001
,1407.782,0.725,851.00,27.75,0.045,-0.043,1.022,0.000,-0.001,0.000
,1407.872,0.695,851.00,27.75,0.044,-0.037,1.021,0.000,-0.001,0.000
,1407.932,0.665,851.00,27.74,0.044,-0.041,1.013,0.000,0.000,0.000
,1408.022,0.691,851.00,27.66,0.062,-0.042,1.013,0.000,0.000,0.000
,1408.082,0.691,851.00,27.66,0.06,-0.042,1.021,0.000,0.000,0.000
,1408.142,0.732,851.00,27.74,0.031,-0.042,1.029,0.000,0.000,0.000
,1408.172,0.732,851.00,27.74,0.031,-0.042,1.029,0.000,0.000,0.000
,1408.202,0.732,851.00,27.74,0.031,-0.046,1.029,0.000,0.000,0.000
